intent,question,label
Migrant-Worker-loan,What documents do I need for a Migrant Worker Loan,9
Migrant-Worker-loan,What is the interest rate of the Migrant Worker Loan,9
Migrant-Worker-loan,Who are Wing Bank's partners for the Migrant Worker Loan,9
Migrant-Worker-loan,Is the Migrant Worker Loan only for Japan and Korea,9
Migrant-Worker-loan,Where can I get more information about the Migrant Worker Loan,9
Wing-Agent-Loan,What is a Wing Agent Loan,15
Wing-Agent-Loan,What is the benefit of Wing Agent Loan,15
Wing-Agent-Loan,What is the condition of Wing Agent Loan,15
Wing-Agent-Loan,Who can apply for a Wing Agent Loan,15
Wing-Agent-Loan,How much money can I borrow with a Wing Agent Loan,15
Wing-Agent-Loan,Is collateral required for the Wing Agent Loan,15
Wing-Agent-Loan,What is the loan term for the Wing Agent Loan,15
Wing-Agent-Loan,How is interest calculated for the Wing Agent Loan,15
Wing-Agent-Loan,How fast can I receive the funds from the Wing Agent Loan,15
Wing-Agent-Loan,How do I repay the Wing Agent Loan,15
Wing-Agent-Loan,When is the repayment due for the Wing Agent Loan,15
Wing-Agent-Loan,Do I need to prepare documents to apply for the Wing Agent Loan,15
Wing-Agent-Loan,How do I apply for a Wing Agent Loan,15
Wing-Agent-Loan,Why should I choose the Wing Agent Loan over other loans,15
Goverment-Salary-Loan,What is a Government Salary Loan,4
Goverment-Salary-Loan,What is the benefit of Government Salary Loan,4
Goverment-Salary-Loan,What is the condition of Government Salary Loan,4
Goverment-Salary-Loan,Who is eligible for the Government Salary Loan,4
Goverment-Salary-Loan,How much can I borrow with the Government Salary Loan,4
Goverment-Salary-Loan,Do I need to provide collateral for the Government Salary Loan,4
Goverment-Salary-Loan,What is the loan term for the Government Salary Loan,4
Goverment-Salary-Loan,Is the Government Salary Loan processed quickly,4
Goverment-Salary-Loan,How do I apply for the Government Salary Loan,4
Goverment-Salary-Loan,Are there any processing fees for the Government Salary Loan,4
Goverment-Salary-Loan,How is the government salary loan repaid,4
Goverment-Salary-Loan,When is the repayment due,4
Goverment-Salary-Loan,Can I apply again after fully repaying my Government Salary Loan,4
Goverment-Salary-Loan,In what currency is the Government Salary Loan available,4
Goverment-Salary-Loan,Is a credit history check required for the Government Salary Loan,4
Cellcard-Loan,What is the Cellcard Loan from Wing Bank,1
Cellcard-Loan,What is the benefit of Cellcard loan,1
Cellcard-Loan,Who can apply for the Cellcard Loan,1
Cellcard-Loan,How much money can I borrow from Cellcard loan,1
Cellcard-Loan,What is the interest rate for the Cellcard Loan,1
Cellcard-Loan,Do I need to provide collateral or documents to apply for Cellcard loan,1
Cellcard-Loan,How do I apply for the Cellcard Loan,1
Cellcard-Loan,How fast is the approval process of Cellcard loan,1
Cellcard-Loan,Where will I receive the loan money from Cellcard loan,1
Cellcard-Loan,What is the loan term of Cellcard loan,1
Cellcard-Loan,What fees do I need to pay for Cellcard loan,1
Cellcard-Loan,Can I take the loan multiple times after I apply for Cellcard loan,1
Cellcard-Loan,How do I repay the loan for Cellcard loan,1
Cellcard-Loan,Is Cellcard loan a one-time offer,1
Cellcard-Loan,Why should I use the Cellcard Loan,1
Phone-Top-Up-Loan,What is the Phone Top-Up Loan from Wing Bank,12
Phone-Top-Up-Loan,How much can I borrow with the Phone Top-Up Loan,12
Phone-Top-Up-Loan,What is the loan term for the Phone Top-Up Loan,12
Phone-Top-Up-Loan,Is there any interest charged on the Phone Top-Up Loan,12
Phone-Top-Up-Loan,Do I need to provide any documents or collateral,12
Phone-Top-Up-Loan,Who is eligible for the Phone Top-Up Loan,12
Phone-Top-Up-Loan,How can I apply for the Phone Top-Up Loan,12
Phone-Top-Up-Loan,How quickly can I get approved from Phone Top Up Loan,12
Phone-Top-Up-Loan,Where will the loan funds from Phone Top Up Loan be sent after approval,12
Phone-Top-Up-Loan,Is there any fee for the Phone Top Up Loan,12
Phone-Top-Up-Loan,How do I repay the phone top up loan,12
Phone-Top-Up-Loan,Can I reapply for the phone top up loan after repaying,12
Phone-Top-Up-Loan,Is the Phone Top-Up Loan available anytime,12
Easy-Buy-with-Digital-Installment,What is the Easy Buy with Digital Installment service by Wing Bank,3
Easy-Buy-with-Digital-Installment,What is the loan amount range for small purchases using Digital Installment,3
Easy-Buy-with-Digital-Installment,Which partner stores accept Digital Installment,3
Easy-Buy-with-Digital-Installment,How do I use Digital Installment when I don’t have enough balance,3
Easy-Buy-with-Digital-Installment,What can I do if I’m not eligible for Digital Installment,3
Easy-Buy-with-Digital-Installment,How do I get started with Digital Installment,3
Easy-Buy-with-Digital-Installment,What are the benefits of using Digital Installments,3
Business-Loan,What is a business loan,0
Business-Loan,What types of business loan options does Wing Bank offer,0
Business-Loan,Who is eligible to apply for a Wing Bank business loan,0
Business-Loan,Does Wing Bank require collateral for a business loan,0
Business-Loan,What are the main benefits of taking a Wing Bank business loan,0
Business-Loan,Can startups apply for a Wing Bank business loan,0
Business-Loan,How can I apply for a business loan from Wing Bank,0
Business-Loan,What repayment options are available for a Wing Bank business loan,0
Business-Loan,Does Wing Bank offer business loan support for merchants,0
Business-Loan,Can real estate be used as collateral for a Wing Bank business loan,0
Business-Loan,Who do I contact if I have questions about the business loan process,0
Wing-Visa-Credit-Platinium,What is the Wing Visa Credit Platinum card,24
Wing-Visa-Credit-Platinium,What is the credit limit for the Wing Visa Credit Platinum card,24
Wing-Visa-Credit-Platinium,What travel benefits do I get with the Wing Visa Credit Platinum card,24
Wing-Visa-Credit-Platinium,What are the eligibility requirements for the Wing Visa Credit Platinum card,24
Wing-Visa-Credit-Platinium,What are the annual fees for the Wing Visa Credit Platinum card,24
Wing-Visa-Credit-Platinium,Can foreigners apply for the Wing Visa Credit Platinum card,24
Wing-Visa-Credit-Platinium,How do I repay my Wing Visa Credit Platinum card balance,24
Wing-Visa-Credit-Platinium,What are the cash advance limits on the Wing Visa Credit Platinum card,24
Wing-Visa-Credit-Platinium,What is the interest rate for the Wing Visa Credit Platinum card,24
Wing-Visa-Credit-Platinium,What happens if I make a late payment on my Wing Visa Credit Platinum card,24
Wing-Visa-Credit-Platinium,What documents are required to apply for the Wing Visa Credit Platinum card,24
Wing-Visa-Credit-Platinium,What fees are charged for cash advances with the Wing Visa Credit Platinum card,24
Wing-Visa-Credit-Platinium,What currency fees apply when using the Wing Visa Credit Platinum card internationally,24
Wing-Visa-Credit-Platinium,Where can I manage my Wing Visa Credit Platinum card account,24
Wing-Visa-Credit-Platinium,How long is the Wing Visa Credit Platinum card valid for,24
Wing-Visa-Credit-Gold,What is the Wing Visa Gold Credit Card,22
Wing-Visa-Credit-Gold,What are the eligibility requirements for the Wing Visa Gold Credit Card,22
Wing-Visa-Credit-Gold,What is the maximum credit limit available on the Wing Visa Gold Credit Card,22
Wing-Visa-Credit-Gold,What is the minimum monthly income required to apply for the Wing Visa Gold Credit Card,22
Wing-Visa-Credit-Gold,What travel benefits come with the Wing Visa Gold Credit Card,22
Wing-Visa-Credit-Gold,How much is the annual fee for the primary holder of the Wing Visa Gold Credit Card,22
Wing-Visa-Credit-Gold,What is the cash advance limit of the Wing Visa Gold Credit Card,22
Wing-Visa-Credit-Gold,What interest rate applies to purchases made with the Wing Visa Gold Credit Card,22
Wing-Visa-Credit-Gold,How many ATM cash advances can be made daily with the Wing Visa Gold Credit Card,22
Wing-Visa-Credit-Gold,What is the late payment fee for the Wing Visa Gold Credit Card,22
Wing-Visa-Credit-Gold,Are transactions at other banks charged when using the Wing Visa Gold Credit Card,22
Wing-Visa-Credit-Gold,What documents are required to apply for the Wing Visa Gold Credit Card as an employee,22
Wing-Visa-Credit-Gold,How long is the Wing Visa Gold Credit Card valid before it expires,22
Wing-Visa-Credit-Gold,Can foreigners apply for an Wing Visa Gold Credit Card,22
Wing-Visa-Credit-Gold,What repayment options are available for the Wing Visa Gold Credit Card,22
Wing-Visa-Credit-Gold,What is the cash advance fee when using the Wing Visa Gold Credit Card at an ATM,22
Wing-Visa-Credit-Infinite,What is the Wing Visa Credit Infinite card,23
Wing-Visa-Credit-Infinite,What are feature and benefit of Wing Visa Credit Infinite,23
Wing-Visa-Credit-Infinite,What is the annual fee for the Wing Visa Credit Infinite card,23
Wing-Visa-Credit-Infinite,How much cashback can I earn with the Wing Visa Credit Infinite card,23
Wing-Visa-Credit-Infinite,What kind of travel insurance is included with the Wing Visa Credit Infinite card,23
Wing-Visa-Credit-Infinite,Does the Wing Visa Credit Infinite card provide airport lounge access,23
Wing-Visa-Credit-Infinite,What is the credit line policy for the Wing Visa Credit Infinite card,23
Wing-Visa-Credit-Infinite,What is the maximum daily cash advance limit on the Wing Visa Credit Infinite card,23
Wing-Visa-Credit-Infinite,How many supplementary cards can I get with the Wing Visa Credit Infinite card,23
Wing-Visa-Credit-Infinite,What security features does the Wing Visa Credit Infinite card offer,23
Wing-Visa-Credit-Infinite,What is the purchase interest rate on the Wing Visa Credit Infinite card,23
Wing-Visa-Credit-Infinite,What are the cash advance fees for the Wing Visa Credit Infinite card,23
Wing-Visa-Credit-Infinite,How can I manage my Wing Visa Credit Infinite card account,23
Wing-Visa-Credit-Infinite,Does the Wing Visa Credit Infinite card include a concierge service,23
Wing-Visa-Credit-Infinite,What should I do if I need to replace my Wing Visa Credit Infinite card,23
Wing-Visa-Personalized-Debit-Card,What is the Wing Visa Personalized Debit Card,26
Wing-Visa-Personalized-Debit-Card,What are the features and benefit of the Wing Visa Personalized Debit Card,26
Wing-Visa-Personalized-Debit-Card,Is there an annual fee for the Wing Visa Personalized Debit Card,26
Wing-Visa-Personalized-Debit-Card,Are there any issuance fees for the Wing Visa Personalized Debit Card,26
Wing-Visa-Personalized-Debit-Card,What is the daily purchase limit for the Wing Visa Personalized Debit Card,26
Wing-Visa-Personalized-Debit-Card,How many purchase transactions can I make per day with the Wing Visa Personalized Debit Card,26
Wing-Visa-Personalized-Debit-Card,What is the daily cash withdrawal limit for the Wing Visa Personalized Debit Card,26
Wing-Visa-Personalized-Debit-Card,Can I make international purchases with the Wing Visa Personalized Debit Card,26
Wing-Visa-Personalized-Debit-Card,What is the validity period of the Wing Visa Personalized Debit Card,26
Wing-Visa-Personalized-Debit-Card,Is there a fee for replacing the Wing Visa Personalized Debit Card,26
Wing-Visa-Personalized-Debit-Card,Can I change my PIN for the Wing Visa Personalized Debit Card,26
Wing-Visa-Personalized-Debit-Card,What is the eligibility criteria for obtaining the Wing Visa Personalized Debit Card,26
Wing-Visa-Personalized-Debit-Card,Are there any eco friendly aspects of the Wing Visa Personalized Debit Card,26
Wing-Visa-Personalized-Debit-Card,How can I apply for the Wing Visa Personalized Debit Card,26
Wing-Visa-Numberless-Debit-Card,What is the Wing Visa Numberless Debit Card,25
Wing-Visa-Numberless-Debit-Card,What are the feature and benefits of using the Wing Visa Numberless Debit Card,25
Wing-Visa-Numberless-Debit-Card,How much is the annual fee for the Wing Visa Numberless Debit Card,25
Wing-Visa-Numberless-Debit-Card,What are the daily transaction limits for the Wing Visa Numberless Debit Card,25
Wing-Visa-Numberless-Debit-Card,How do I manage my Wing Visa Numberless Debit Card,25
Wing-Visa-Numberless-Debit-Card,Where can I use the Wing Visa Numberless Debit Card,25
Wing-Visa-Numberless-Debit-Card,Is there a fee to replace the Wing Visa Numberless Debit Card,25
Wing-Visa-Numberless-Debit-Card,What is the expiration period for the Wing Visa Numberless Debit Card,25
Wing-Visa-Numberless-Debit-Card,What is the eco friendly feature of the Wing Visa Numberless Debit Card,25
Wing-Visa-Numberless-Debit-Card,Are there fees for cash withdrawals using the Wing Visa Numberless Debit Card,25
Wing-Visa-Numberless-Debit-Card,What is the eligibility requirement to apply for a Wing Visa Numberless Debit Card,25
Wing-Visa-Numberless-Debit-Card,How many Wing Visa Numberless Debit Cards can I own,25
Wing-Visa-Numberless-Debit-Card,How can I apply for the Wing Visa Numberless Debit Card,25
Wing-Mastercard,What is the Wing Mastercard,16
Wing-Mastercard,What makes the Wing Mastercard secure,16
Wing-Mastercard,What are the feature and benefits of using the Wing Mastercard,16
Wing-Mastercard,What is the annual fee for the Wing Mastercar,16
Wing-Mastercard,What are the transaction limits for the Wing Mastercard,16
Wing-Mastercard,How do I manage my Wing Mastercard,16
Wing-Mastercard,Where can I use the Wing Mastercard,16
Wing-Mastercard,What is the fee for withdrawing cash from other banks' ATMs using the Wing Mastercard,16
Wing-Mastercard,How long is the Wing Mastercard valid,16
Wing-Mastercard,What documents are required to apply for the Wing Mastercard,16
Wing-Mastercard,Are there any fees for replacing a lost Wing Mastercard,16
Wing-Mastercard,Does the Wing Mastercard support foreign currency transactions,16
Wing-Mastercard,How can I apply for the Wing Mastercard,16
Wing-Mastercard-Numberless-Standard,What is the Wing Mastercard Numberless Standard,18
Wing-Mastercard-Numberless-Standard,Why is the Wing Mastercard Numberless Standard more secure,18
Wing-Mastercard-Numberless-Standard,What features and benefit does the Wing Mastercard Numberless Standard offer,18
Wing-Mastercard-Numberless-Standard,What is the annual fee for the Wing Mastercard Numberless Standard,18
Wing-Mastercard-Numberless-Standard,What are the daily transaction limits for the Wing Mastercard Numberless Standard,18
Wing-Mastercard-Numberless-Standard,How can I control my Wing Mastercard Numberless Standard,18
Wing-Mastercard-Numberless-Standard,Where can I use the Wing Mastercard Numberless Standard,18
Wing-Mastercard-Numberless-Standard,How much does it cost to withdraw cash using the Wing Mastercard Numberless Standard at other banks’ ATMs,18
Wing-Mastercard-Numberless-Standard,What is the validity period of the Wing Mastercard Numberless Standard,18
Wing-Mastercard-Numberless-Standard,What documents are needed to apply for the Wing Mastercard Numberless Standard,18
Wing-Mastercard-Numberless-Standard,Is there a replacement fee for the Wing Mastercard Numberless Standard,18
Wing-Mastercard-Numberless-Standard,Can foreigners apply for the Wing Mastercard Numberless Standard,18
Wing-Mastercard-Numberless-Standard,How can I apply for the Wing Mastercard Numberless Standard,18
Wing-Mastercard-Numberless-Platinum,What is the Wing Mastercard Numberless Platinum,17
Wing-Mastercard-Numberless-Platinum,What features and benefit does the Wing Mastercard Numberless Platinum offer,17
Wing-Mastercard-Numberless-Platinum,How is the Wing Mastercard Numberless Platinum different from other cards,17
Wing-Mastercard-Numberless-Platinum,What security features does the Wing Mastercard Numberless Platinum offer,17
Wing-Mastercard-Numberless-Platinum,What is the issue fee for the Wing Mastercard Numberless Platinum,17
Wing-Mastercard-Numberless-Platinum,How much can I spend or withdraw per day with the Wing Mastercard Numberless Platinum,17
Wing-Mastercard-Numberless-Platinum,Can I use the Wing Mastercard Numberless Platinum internationally,17
Wing-Mastercard-Numberless-Platinum,What health protection does the Wing Mastercard Numberless Platinum provide,17
Wing-Mastercard-Numberless-Platinum,How do I manage my Wing Mastercard Numberless Platinum card,17
Wing-Mastercard-Numberless-Platinum,Are there travel benefit with the Wing Mastercard Numberless Platinum,17
Wing-Mastercard-Numberless-Platinum,What happens if I lost my Wing Mastercard Numberless Platinum,17
Wing-Mastercard-Numberless-Platinum,Who is eligible for the Wing Mastercard Numberless Platinum,17
Wing-Mastercard-Numberless-Platinum,What is the fee for using the Wing Mastercard Numberless Platinum at another bank's ATM,17
Wing-Mastercard-Numberless-Platinum,Is there a PIN change fee for the Wing Mastercard Numberless Platinum,17
Wing-Mastercard-Numberless-Platinum,How can I apply for the Wing Mastercard Numberless Platinum,17
Wing-Mastercard-Virtual,What is Wing Mastercard Virtual,20
Wing-Mastercard-Virtual,How can I apply for a Wing Mastercard Virtual,20
Wing-Mastercard-Virtual,What are the feature and benefits of using Wing Mastercard Virtual,20
Wing-Mastercard-Virtual,How secure is the Wing Mastercard Virtual for online transactions,20
Wing-Mastercard-Virtual,How much does it cost to use the Wing Mastercard Virtual,20
Wing-Mastercard-Virtual,Is there a daily limit for transactions with Wing Mastercard Virtual,20
Wing-Mastercard-Virtual,Can I use Wing Mastercard Virtual for subscriptions or recurring payments,20
Wing-Mastercard-Virtual,How do I view and manage my Wing Mastercard Virtual transactions,20
Wing-Mastercard-Virtual,Who is eligible to apply for a Wing Mastercard Virtual,20
Wing-Mastercard-Virtual,What should I do if I want to stop using my Wing Mastercard Virtual,20
Wing-Visa-Card-Virtual,What is Wing Visa Card Virtual,21
Wing-Visa-Card-Virtual,How do I apply for a Wing Visa Card Virtual,21
Wing-Visa-Card-Virtual,What are the feature and benefits of Wing Visa Card Virtual,21
Wing-Visa-Card-Virtual,How secure is Wing Visa Card Virtual,21
Wing-Visa-Card-Virtual,Is there a fee for using Wing Visa Card Virtual,21
Wing-Visa-Card-Virtual,What is the transaction limit for Wing Visa Card Virtual,21
Wing-Visa-Card-Virtual,Can I use Wing Visa Card Virtual for non-USD transactions,21
Wing-Visa-Card-Virtual,Who is eligible to create a Wing Visa Card Virtual,21
Wing-Visa-Card-Virtual,How do I manage multiple Wing Visa Card Virtual cards,21
Wing-Visa-Card-Virtual,What happens if I don't have enough balance to cover the monthly fee for Wing Visa Card Virtual,21
Wing-Mastercard-Numberless-World,What is Wing Mastercard Numberless World,19
Wing-Mastercard-Numberless-World,What are feature and benefit of Wing Mastercard Numberless World,19
Wing-Mastercard-Numberless-World,How can I own a Wing Mastercard Numberless World card,19
Wing-Mastercard-Numberless-World,What makes Wing Mastercard Numberless World different from regular cards,19
Wing-Mastercard-Numberless-World,Is there an annual fee for Wing Mastercard Numberless World,19
Wing-Mastercard-Numberless-World,Can I withdraw cash using Wing Mastercard Numberless World,19
Wing-Mastercard-Numberless-World,Is there a limit to how much I can purchase using Wing Mastercard Numberless World,19
Wing-Mastercard-Numberless-World,What are the airport lounge benefits with Wing Mastercard Numberless World,19
Wing-Mastercard-Numberless-World,Are there any luxury hotel benefits with Wing Mastercard Numberless Worl,19
Wing-Mastercard-Numberless-World,What dining privileges come with Wing Mastercard Numberless World,19
Wing-Mastercard-Numberless-World,Can I play golf with Wing Mastercard Numberless World benefits,19
Wing-Mastercard-Numberless-World,Does Wing Mastercard Numberless World offer travel flexibility,19
Wing-Mastercard-Numberless-World,How does Wing Mastercard Numberless World protect against identity theft,19
Wing-Mastercard-Numberless-World,What is the replacement cost for a lost Wing Mastercard Numberless World,19
Wing-Mastercard-Numberless-World,Are there any foreign currency transaction fees with Wing Mastercard Numberless World,19
Wing-Mastercard-Numberless-World,How many Wing Mastercard Numberless World cards can one person own,19
Mastercard-Platinum-One-Card,What is the Wing Bank Mastercard Platinum One Card,7
Mastercard-Platinum-One-Card,What are features of the Wing Bank Mastercard Platinum One Card,7
Mastercard-Platinum-One-Card,How does the numberless design of the Platinum One Card improve security,7
Mastercard-Platinum-One-Card,What travel insurance benefits come with the Wing Bank Mastercard Platinum One Card,7
Mastercard-Platinum-One-Card,What airport lounge benefits do I receive with the Platinum One Card,7
Mastercard-Platinum-One-Card,What are the lifestyle perks of the Platinum One Card,7
Mastercard-Platinum-One-Card,How is the Platinum One Card eco-friendly and sustainable,7
Mastercard-Platinum-One-Card,Can I use the Mastercard Platinum One Card internationally,7
Mastercard-Platinum-One-Card,How does the Wing Bank app support Platinum One Card users,7
Mastercard-Platinum-One-Card,Who is the Platinum One Card designed for,7
Mastercard-Platinum-One-Card,Are there any additional cards I can request with the Platinum One Card,7
Mastercard-Gold-One-Card,What is the Wing Bank Mastercard Platinum One Card,6
Mastercard-Gold-One-Card,What are the main features of the Wing Bank Mastercard Gold One Card,6
Mastercard-Gold-One-Card,How much travel insurance does the Gold One Card provide,6
Mastercard-Gold-One-Card,What airport lounge benefits come with the Gold One Card,6
Mastercard-Gold-One-Card,What type of users is the Gold One Card best suited for,6
Mastercard-Gold-One-Card,How does the Gold One Card help manage everyday spending,6
Mastercard-Gold-One-Card,How does the numberless design protect my Gold One Card,6
Mastercard-Gold-One-Card,Is the Gold One Card internationally accepted,6
Mastercard-Gold-One-Card,What makes the Gold One Card environmentally friendly,6
Mastercard-Gold-One-Card,Can I get a supplementary Gold One Card for a family member,6
Mastercard-Gold-One-Card,What tools does the Wing Bank app offer for Gold One Card holders to manage,6
